"term","truth","mean_est","bias","emp_se","mean_se","rmse","coverage","coverage_mcse","type1","type1_mcse","power","power_mcse","sign_error","n_effective","model","conv_fail_rate_net","conv_fail_rate_naive","setting"
"Post",0.139761942375159,0.138872114689661,-0.000889827685497365,0.0263672909178435,0.0262060708743156,0.0263691218971304,0.949,0.00695693898205238,NA,NA,1,0,0,1000,"network-adjusted",0,0.004,"beta2=-1"
"Expose",-1,-1.00103516308847,-0.00103516308846554,0.0695001282703538,0.0695524632783248,0.0694730820130053,0.958,0.00634318531969546,NA,NA,1,0,0,1000,"network-adjusted",0,0.004,"beta2=-1"
"Post:Expose",-0.127833371509885,-0.125968951030538,0.00186442047934693,0.0718257410194174,0.0729791309344673,0.0718140250900842,0.954,0.00662449998113065,NA,NA,0.403,0.0155109960995418,0.035,1000,"network-adjusted",0,0.004,"beta2=-1"
"Post (naive)",0.139761942375159,0.00189985546707354,-0.137862086908085,0.0261749258606239,0.025131101692254,0.140322463890158,0.00200803212851406,0.00141846682301593,NA,NA,0.0592369477911647,0.00748008948894342,0.468875502008032,996,"naive",0,0.004,"beta2=-1"
"Post",0.139761942375159,0.13944262454407,-0.000319317831088762,0.0254196481216317,0.0255668163755114,0.0254089416543507,0.951,0.00682634602111555,NA,NA,1,0,0,1000,"network-adjusted",0,0.002,"beta2=0"
"Expose",0,0.00159086257535572,0.00159086257535572,0.0565002949014883,0.0588964183080186,0.0564944411811008,0.958,0.00634318531969546,0.042,0.00634318531969546,NA,NA,NA,1000,"network-adjusted",0,0.002,"beta2=0"
"Post:Expose",-0.127833371509885,-0.129586727709674,-0.00175335619978951,0.0583437785426951,0.0614644752450294,0.0583409526499847,0.964,0.00589101010014412,NA,NA,0.565,0.0156772127624779,0.012,1000,"network-adjusted",0,0.002,"beta2=0"
"Post (naive)",0.139761942375159,0.105462836487519,-0.0342991058876395,0.0233506317500111,0.0236430830667057,0.0414865559322972,0.687374749498998,0.0146738320128749,NA,NA,0.991983967935872,0.00282271336049308,0,998,"naive",0,0.002,"beta2=0"
"Post",0.139761942375159,0.13938560148697,-0.000376340888188802,0.0248850404803705,0.0251457847702958,0.0248754168994529,0.947895791583166,0.00703479470597396,NA,NA,1,0,0,998,"network-adjusted",0.002,0.002,"beta2=1"
"Expose",1,0.999978103432665,-2.18965673352105e-05,0.0546814226640251,0.054245585371887,0.0546540246819636,0.942885771543086,0.0073457548006906,NA,NA,1,0,0,998,"network-adjusted",0.002,0.002,"beta2=1"
"Post:Expose",-0.127833371509885,-0.12829621705947,-0.000462845549584819,0.0572913804945608,0.0566851727682881,0.0572645407292878,0.950901803607214,0.00683967292750696,NA,NA,0.625250501002004,0.0153225936365306,0.0200400801603206,998,"network-adjusted",0.002,0.002,"beta2=1"
"Post (naive)",0.139761942375159,0.245344222513,0.105582280137842,0.0218406554814444,0.0225526594459245,0.107815370614735,0.00200400801603206,0.00141562705817578,NA,NA,1,0,0,998,"naive",0.002,0.002,"beta2=1"
"Post",0.139761942375159,0.138991268747727,-0.000770673627431163,0.0263010971329585,0.0253857633696165,0.0262991980683697,0.947843530591775,0.00704165654429105,NA,NA,0.998996990972919,0.00100250588733198,0,997,"network-adjusted",0.003,0.004,"beta3=-1"
"Expose",1.02961941718116,1.02824378772966,-0.00137562945150066,0.0561522737849713,0.054439767615055,0.0561409622473853,0.94383149448345,0.00729199039194482,NA,NA,1,0,0,997,"network-adjusted",0.003,0.004,"beta3=-1"
"Post:Expose",-1,-0.997985409487743,0.00201459051225726,0.0600784852073189,0.0572869027416713,0.0600821327392561,0.9358074222668,0.0077622579603551,NA,NA,1,0,0,997,"network-adjusted",0.003,0.004,"beta3=-1"
"Post (naive)",0.139761942375159,0.000136447480071706,-0.139625494895087,0.0244882291527612,0.0232623600854993,0.141754541761604,0,0,NA,NA,0.0642570281124498,0.00776978382022678,0.5,996,"naive",0.003,0.004,"beta3=-1"
"Post",0.139761942375159,0.138996398299334,-0.000765544075824263,0.0256739575621563,0.0251249340735046,0.0256725082840077,0.942885771543086,0.0073457548006906,NA,NA,0.998997995991984,0.00100150187618391,0,998,"network-adjusted",0.002,0.005,"beta3=0"
"Expose",1.02961941718116,1.02842789559684,-0.00119152158432041,0.0556929180512022,0.0541876103706537,0.0556777597231503,0.945891783567134,0.00716122081172956,NA,NA,1,0,0,998,"network-adjusted",0.002,0.005,"beta3=0"
"Post:Expose",0,0.00229595885413846,0.00229595885413846,0.0581425192001609,0.0566544777151658,0.0581587193704233,0.950901803607214,0.00683967292750696,0.0490981963927856,0.00683967292750696,NA,NA,NA,998,"network-adjusted",0.002,0.005,"beta3=0"
"Post (naive)",0.139761942375159,0.284782153862634,0.145020211487475,0.0223791224606995,0.0224576071932447,0.146735079378286,0,0,NA,NA,1,0,0,995,"naive",0.002,0.005,"beta3=0"
"Post",0.139761942375159,0.138940451781328,-0.000821490593830308,0.0262360297480104,0.0251859632734705,0.0262357728012212,0.935,0.0077958322198467,NA,NA,0.999,0.000999499874937461,0,1000,"network-adjusted",0,0.002,"beta3=1"
"Expose",1.02961941718116,1.0284815928437,-0.00113782433745486,0.056693035430104,0.0543083278021277,0.0566761044024344,0.943,0.00733150734842434,NA,NA,1,0,0,1000,"network-adjusted",0,0.002,"beta3=1"
"Post:Expose",1,1.00128500530771,0.00128500530770539,0.0584349200902956,0.0575560073855903,0.0584198295505396,0.944,0.00727076337120113,NA,NA,1,0,0,1000,"network-adjusted",0,0.002,"beta3=1"
"Post (naive)",0.139761942375159,0.523969973171413,0.384208030796254,0.0236171290550074,0.0221765725175315,0.384932488660776,0,0,NA,NA,1,0,0,998,"naive",0,0.002,"beta3=1"
"Post",0.139761942375159,0.138992277044295,-0.000769665330863987,0.0265381539207115,0.0267225521851022,0.0265359522150501,0.94662638469285,0.00713309468425989,NA,NA,1,0,0,993,"network-adjusted",0.007,0,"misspec_threshold"
"Expose",1.02961941718116,1.02913399580874,-0.000485421372421912,0.0222368107471657,0.0223859223359899,0.0222309114665028,0.950654582074522,0.00687321872229231,NA,NA,1,0,0,993,"network-adjusted",0.007,0,"misspec_threshold"
"Post:Expose",-0.127833371509885,-0.127206231661367,0.000627139848518275,0.0235270585046768,0.0236326028385851,0.0235235703459112,0.947633434038268,0.0070692381219251,NA,NA,0.998992950654582,0.00100654214349938,0,993,"network-adjusted",0.007,0,"misspec_threshold"
"Post (naive)",0.139761942375159,0.425545176728043,0.285783234352884,0.0230498142603524,0.0217965467086317,0.286710341077358,0,0,NA,NA,1,0,0,1000,"naive",0.007,0,"misspec_threshold"
